Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Time (product.metafields.custom.time),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
hoodie-with-pocket-1,Hoodie with Pocket,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-hoodie-with-pocket,0.0,shopify,deny,manual,35.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-pocket-2_97cbd74b-c43d-4256-be9d-3586fb102b7a.jpg?v=1724757316,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-pocket-2.jpg,false,,,,,,,,,,,,,,,,,kg,,35.00,true,,,true,,,active
hoodie-with-zipper-1,Hoodie with Zipper,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-hoodie-with-zipper,0.0,shopify,deny,manual,45.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-zipper-2_85a05b89-bcbd-4bba-990e-e96437b24f9b.jpg?v=1724757314,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-zipper-2.jpg,false,,,,,,,,,,,,,,,,,kg,,45.00,true,,,true,,,active
long-sleeve-tee-1,Long Sleeve Tee,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-long-sleeve-tee,0.0,shopify,deny,manual,25.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/long-sleeve-tee-2_3342a801-84d3-4369-9e78-740ff7310b45.jpg?v=1724757313,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/long-sleeve-tee-2.jpg,false,,,,,,,,,,,,,,,,,kg,,25.00,true,,,true,,,active
album-1,Album,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-album,0.0,shopify,deny,manual,15.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/album-1_fb24424a-8d45-44f2-bd4e-0845eba33451.jpg?v=1724757311,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/album-1.jpg,false,,,,,,,,,,,,,,,,,kg,,15.00,true,,,true,,,active
single-1,Single,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-single,0.0,shopify,deny,manual,2.00,3.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/single-1_4fe466e3-729f-4954-9ba9-620565deb57a.jpg?v=1724757309,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/single-1.jpg,false,,,,,,,,,,,,,,,,,kg,,2.00,true,,,true,,,active
t-shirt-with-logo-1,T-Shirt with Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,Woo-tshirt-logo,0.0,shopify,deny,manual,18.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/t-shirt-with-logo-1_b4835205-9414-4c58-8955-2f5040867cb4.jpg?v=1724757308,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/t-shirt-with-logo-1.jpg,false,,,,,,,,,,,,,,,,,kg,,18.00,true,,,true,,,active
beanie-with-logo-1,Beanie with Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,Woo-beanie-logo,0.0,shopify,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/beanie-with-logo-1_c22c2187-761a-4723-b536-178334e107f3.jpg?v=1724757306,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/beanie-with-logo-1.jpg,false,,,,,,,,,,,,,,,,,kg,,18.00,true,,,true,,,active
logo-collection-1,Logo Collection,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,grouped,"",true,Title,Default Title,,,,,,,,logo-collection,0.0,shopify,deny,manual,0.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/logo-1_a230be82-b3b8-4c57-8918-c4c927852df5.jpg?v=1724757304,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/logo-1.jpg,false,,,,,,,,,,,,,,,,,kg,,0.00,true,,,true,,,active
logo-collection-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/beanie-with-logo-1_34dfdfcc-2f55-4b92-955a-fd920a29b859.jpg?v=1724757304,2,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/beanie-with-logo-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
logo-collection-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/t-shirt-with-logo-1_d669bc16-745a-434a-8684-2f0cb34975cf.jpg?v=1724757304,3,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/t-shirt-with-logo-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
logo-collection-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-logo-2_2360edb9-2d46-4ea9-bef1-160df32bff08.jpg?v=1724757304,4,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-logo-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
wordpress-pennant-2,WordPress Pennant,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,external,"",true,Title,Default Title,,,,,,,,wp-pennant,0.0,shopify,deny,manual,11.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/pennant-1_16aa7bfe-7631-412a-9991-7688d7ee148b.jpg?v=1724757302,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/pennant-1.jpg,false,,,,,,,,,,,,,,,,,kg,,11.00,true,,,true,,,active
polo-14,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_60a7ea6c-3d1f-47fe-bd9c-790b5e261ce7.jpg?v=1724757300,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-13,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_5a891c70-baea-464a-a1f0-122dd59ba9d5.jpg?v=1724757259,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-12,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_d804258e-8fe7-4af8-9167-76d3f0c51df6.jpg?v=1724757099,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-11,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_95d7405a-a89a-41f7-96f4-80e33044fe72.jpg?v=1724757046,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-10,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_44c526d7-1efc-4ac7-b06a-7a0a9b888f50.jpg?v=1724756964,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-9,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_9af46568-65ea-4d5f-9be0-7e9bd7f5ce80.jpg?v=1724756883,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-8,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_554ec117-e9ca-4f13-8ec0-0ae2d2d6745e.jpg?v=1724756825,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-7,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_23c848ec-e1bc-4840-8735-cfa3a4633737.jpg?v=1724756804,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-6,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_252fba97-bec5-4c33-a556-01d4078889e8.jpg?v=1724756734,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
polo-5,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-polo,0.0,shopify,deny,manual,20.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/polo-2_ba71e6d8-2c11-4b66-a7da-e6ebf76d3b13.jpg?v=1724756650,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/polo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,20.00,true,,,true,,,active
t-shirt,T-Shirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-tshirt,0.0,shopify,deny,manual,18.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/tshirt-2.jpg?v=1724756592,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/tshirt-2.jpg,false,,,,,,,,,,,,,,,,,kg,,18.00,true,,,true,,,active
hoodie,Hoodie,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,variable,"",true,pa_color,blue,,logo,Yes,,,,,woo-hoodie,0.0,shopify,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-2.jpg?v=1724756589,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-2.jpg,false,,,,,,,,,,,,,,,,,kg,,45.00,true,,,true,,,active
hoodie,,,,,,,,,red,,,No,,,,,woo-hoodie,0.0,shopify,deny,manual,45.00,42.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-blue-1.jpg?v=1724756590,2,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-blue-1.jpg,,,,,,,,,,,,,,,,,,kg,,45.00,,,,,,,
hoodie,,,,,,,,,green,,,No,,,,,woo-hoodie,0.0,shopify,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-green-1.jpg?v=1724756589,3,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-green-1.jpg,,,,,,,,,,,,,,,,,,kg,,45.00,,,,,,,
hoodie,,,,,,,,,blue,,,No,,,,,woo-hoodie,0.0,shopify,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-logo-2_6d71c2e7-5f78-4eb3-90e0-372d73b92360.jpg?v=1724756589,4,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-logo-2.jpg,,,,,,,,,,,,,,,,,,kg,,45.00,,,,,,,
beanie,Beanie,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-beanie,0.0,shopify,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/beanie-2.jpg?v=1724756586,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/beanie-2.jpg,false,,,,,,,,,,,,,,,,,kg,,18.00,true,,,true,,,active
belt,Belt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-belt,0.0,shopify,deny,manual,55.00,65.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/belt-2.jpg?v=1724756585,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/belt-2.jpg,false,,,,,,,,,,,,,,,,,kg,,55.00,true,,,true,,,active
